,name,github_id,pypi_id,conda_id,npm_id,dockerhub_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending
0,DeePMD-kit,deepmodeling/deepmd-kit,deepmd-kit,conda-forge/deepmd-kit,deepmd-kit,deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,LGPL-3.0,2017-12-12 15:23:44,2024-05-30 11:12:28.000000,2024-04-06 18:46:23,2501,42.0,468,47,1869,82.0,608.0,1388.0,2024-04-06 19:28:14,2.2.10,36766.0,18018.0,44.0,A deep learning package for many-body potential energy representation and molecular dynamics.,14.0,14.0,68,https://pypi.org/project/deepmd-kit,1106.0,https://anaconda.org/conda-forge/deepmd-kit,2024-05-27 06:59:45.522,598987.0,https://www.npmjs.com/package/deepmd-kit,15.0,https://hub.docker.com/r/deepmodeling/deepmd-kit,2024-03-04 00:17:27.208639,1.0,2284.0,28,True,others,1,
1,dpdata,deepmodeling/dpdata,dpdata,conda-forge/dpdata,,dptechnology/dpdata,https://github.com/deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,LGPL-3.0,2019-04-12 13:24:23,2024-05-29 08:55:14.000000,2024-04-03 01:16:17,698,13.0,122,9,458,16.0,75.0,185.0,2024-04-03 01:21:35,0.2.18,,31449.0,34.0,"Manipulating multiple atomic simulation data formats, including DeePMD-kit, VASP, LAMMPS, ABACUS, etc.",116.0,116.0,57,https://pypi.org/project/dpdata,29940.0,https://anaconda.org/conda-forge/dpdata,2024-04-03 05:29:47.350,67894.0,,,https://hub.docker.com/r/dptechnology/dpdata,2023-06-02 09:30:14.674068,,82.0,24,True,others,1,
2,ABACUS,deepmodeling/abacus-develop,,conda-forge/abacus,,,https://github.com/deepmodeling/abacus-develop,https://github.com/deepmodeling/abacus-develop,LGPL-3.0,2021-02-01 04:04:52,2024-05-30 14:49:19.000000,2024-05-30 08:00:57,6290,214.0,117,11,2700,229.0,1272.0,146.0,2024-05-24 10:06:37,3.6.4,,4628.0,49.0,An electronic structure package based on either plane wave basis or numerical atomic orbitals.,,,116,,,https://anaconda.org/conda-forge/abacus,2024-05-27 02:47:26.519,46281.0,,,,,,,24,True,others,1,
3,DP-GEN,deepmodeling/dpgen,dpgen,conda-forge/dpgen,,,https://github.com/deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,LGPL-3.0,2019-06-13 11:43:56,2024-05-30 01:53:40.000000,2024-04-10 06:31:36,2083,12.0,167,13,810,27.0,256.0,282.0,2024-04-10 06:37:07,0.12.1,1705.0,1047.0,18.0,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,5.0,5.0,64,https://pypi.org/project/dpgen,413.0,https://anaconda.org/conda-forge/dpgen,2024-04-10 09:44:30.012,28346.0,,,,,,,23,True,others,1,
4,dpdispatcher,deepmodeling/dpdispatcher,dpdispatcher,conda-forge/dpdispatcher,,dptechnology/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,LGPL-3.0,2020-12-08 05:14:37,2024-05-29 20:43:18.000000,2024-05-29 20:43:18,1071,21.0,53,6,368,15.0,55.0,40.0,2024-05-27 14:47:51,0.6.5,,5174.0,45.0,generate HPC scheduler systems jobs input scripts and submit these scripts to HPC systems and poke until they finish.,47.0,47.0,46,https://pypi.org/project/dpdispatcher,2379.0,https://anaconda.org/conda-forge/dpdispatcher,2024-01-21 21:21:34.817,8663.0,,,https://hub.docker.com/r/dptechnology/dpdispatcher,2024-05-27 14:51:33.131309,,96849.0,22,True,others,2,
5,reacnetgenerator,deepmodeling/reacnetgenerator,reacnetgenerator,conda-forge/reacnetgenerator,,,https://github.com/deepmodeling/reacnetgenerator,https://github.com/deepmodeling/reacnetgenerator,LGPL-3.0,2018-04-06 15:07:56,2024-05-30 17:57:45.000000,2024-05-17 19:30:22,2475,73.0,35,9,2093,4.0,120.0,61.0,2024-05-09 23:35:17,1.6.13,,7669.0,100.0,an automatic reaction network generator for reactive molecular dynamics simulation.,,,18,https://pypi.org/project/reacnetgenerator,1290.0,https://anaconda.org/conda-forge/reacnetgenerator,2024-05-10 07:03:30.570,306208.0,,,,,,,20,True,others,2,
6,dflow,deepmodeling/dflow,dflow,conda-forge/dflow,,dptechnology/dflow,https://github.com/deepmodeling/dflow,https://github.com/deepmodeling/dflow,LGPL-3.0,2022-01-21 08:14:36,2024-05-30 02:30:44.304883,2024-05-30 02:27:50,2012,93.0,23,1,784,14.0,21.0,54.0,2024-05-30 02:28:11,1.8.72,,119.0,100.0,Dflow is a Python framework for constructing scientific computing workflows (e.g. concurrent learning workflows)..,,,22,https://pypi.org/project/dflow,,https://anaconda.org/conda-forge/dflow,,,,,https://hub.docker.com/r/dptechnology/dflow,2024-05-30 02:30:44.304883,,3340.0,18,True,others,2,
7,DeePTB,deepmodeling/DeePTB,dptb,,,,https://github.com/deepmodeling/DeePTB,https://github.com/deepmodeling/DeePTB,LGPL-3.0,2023-07-11 03:19:42,2024-05-30 12:49:45.000000,2024-05-29 03:21:46,695,129.0,12,4,146,9.0,24.0,32.0,2024-05-06 09:35:40,2.0.2,,164.0,8.0,DeePTB: A deep learning package for tight-binding approach with ab initio accuracy.,,,9,https://pypi.org/project/dptb,164.0,,,,,,,,,,17,True,others,2,
8,dargs,deepmodeling/dargs,dargs,conda-forge/dargs,,,https://github.com/deepmodeling/dargs,https://github.com/deepmodeling/dargs,LGPL-3.0,2020-09-19 22:20:28,2024-05-27 21:24:16.000000,2024-05-17 19:30:36,138,16.0,2,7,55,1.0,6.0,5.0,2024-04-06 04:19:45,0.4.5,,54227.0,26.0,Argument processing for the deep modeling project.,118.0,118.0,7,https://pypi.org/project/dargs,53578.0,https://anaconda.org/conda-forge/dargs,2024-04-06 06:36:32.896,24014.0,,,,,,,17,True,others,2,
9,DeepFlame,deepmodeling/deepflame-dev,,,,,https://github.com/deepmodeling/deepflame-dev,https://github.com/deepmodeling/deepflame-dev,GPL-3.0,2022-06-12 10:25:12,2024-05-24 06:56:10.000000,2024-05-19 15:02:18,1055,16.0,55,7,435,15.0,28.0,124.0,2024-03-02 04:46:26,1.3.1,,,19.0,A deep learning empowered open-source platform for reacting flow simulations.,,,23,,,,,,,,,,,,16,True,others,2,
