,name,github_id,pypi_id,conda_id,npm_id,dockerhub_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending,new_addition
0,DeePMD-kit,deepmodeling/deepmd-kit,deepmd-kit,conda-forge/deepmd-kit,deepmd-kit,deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,LGPL-3.0,2017-12-12 15:23:44,2024-07-03 19:22:48.000000,2024-07-03 15:01:07,2532,73.0,470.0,47.0,1929.0,68.0,650.0,1409.0,2024-07-03 19:22:15,2.2.11,36424.0,20374.0,46.0,A deep learning package for many-body potential energy representation and molecular dynamics.,16.0,16.0,69.0,https://pypi.org/project/deepmd-kit,1135.0,https://anaconda.org/conda-forge/deepmd-kit,2024-06-05 03:32:31.061,723460.0,https://www.npmjs.com/package/deepmd-kit,10.0,https://hub.docker.com/r/deepmodeling/deepmd-kit,2024-07-02 20:31:58.411986,1.0,2347.0,29,True,others,1.0,1.0,
1,ABACUS,deepmodeling/abacus-develop,,conda-forge/abacus,,,https://github.com/deepmodeling/abacus-develop,https://github.com/deepmodeling/abacus-develop,LGPL-3.0,2021-02-01 04:04:52,2024-07-04 16:55:31.000000,2024-07-04 13:51:00,6434,262.0,121.0,11.0,2883.0,205.0,1408.0,151.0,2024-06-27 10:05:34,3.7.0,,6075.0,51.0,An electronic structure package based on either plane wave basis or numerical atomic orbitals.,,,119.0,,,https://anaconda.org/conda-forge/abacus,2024-06-07 22:21:59.440,72907.0,,,,,,,25,True,others,1.0,,
2,dpdata,deepmodeling/dpdata,dpdata,conda-forge/dpdata,,dptechnology/dpdata,https://github.com/deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,LGPL-3.0,2019-04-12 13:24:23,2024-07-03 11:01:02.000000,2024-06-06 00:03:38,724,22.0,122.0,9.0,469.0,17.0,76.0,188.0,2024-06-06 00:06:28,0.2.19,,57655.0,35.0,"Manipulating multiple atomic simulation data formats, including DeePMD-kit, VASP, LAMMPS, ABACUS, etc.",120.0,120.0,60.0,https://pypi.org/project/dpdata,56144.0,https://anaconda.org/conda-forge/dpdata,2024-06-06 04:58:08.772,70634.0,,,https://hub.docker.com/r/dptechnology/dpdata,2023-06-02 09:30:14.674068,,626.0,24,True,others,1.0,,
3,dpdispatcher,deepmodeling/dpdispatcher,dpdispatcher,conda-forge/dpdispatcher,,dptechnology/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,LGPL-3.0,2020-12-08 05:14:37,2024-07-01 23:20:08.000000,2024-06-20 20:37:43,1072,16.0,53.0,6.0,370.0,16.0,55.0,42.0,2024-05-27 14:47:51,0.6.5,,3834.0,45.0,generate HPC scheduler systems jobs input scripts and submit these scripts to HPC systems and poke until they finish.,48.0,48.0,46.0,https://pypi.org/project/dpdispatcher,1045.0,https://anaconda.org/conda-forge/dpdispatcher,2024-06-01 21:08:27.095,10145.0,,,https://hub.docker.com/r/dptechnology/dpdispatcher,2024-05-27 14:51:33.131309,,100137.0,22,True,others,1.0,,
4,DP-GEN,deepmodeling/dpgen,dpgen,conda-forge/dpgen,,,https://github.com/deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,LGPL-3.0,2019-06-13 11:43:56,2024-07-02 05:19:42.000000,2024-04-10 06:31:36,2083,2.0,168.0,13.0,814.0,27.0,258.0,285.0,2024-04-10 06:37:07,0.12.1,1732.0,998.0,18.0,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,6.0,6.0,64.0,https://pypi.org/project/dpgen,367.0,https://anaconda.org/conda-forge/dpgen,2024-04-10 09:44:30.012,29461.0,,,,,,,21,True,others,2.0,-1.0,
5,reacnetgenerator,deepmodeling/reacnetgenerator,reacnetgenerator,conda-forge/reacnetgenerator,,,https://github.com/deepmodeling/reacnetgenerator,https://github.com/deepmodeling/reacnetgenerator,LGPL-3.0,2018-04-06 15:07:56,2024-07-01 23:20:20.000000,2024-06-11 20:31:34,2478,47.0,35.0,9.0,2106.0,4.0,120.0,62.0,2024-05-09 23:35:17,1.6.13,,7483.0,100.0,an automatic reaction network generator for reactive molecular dynamics simulation.,2.0,2.0,18.0,https://pypi.org/project/reacnetgenerator,816.0,https://anaconda.org/conda-forge/reacnetgenerator,2024-05-10 07:03:30.570,333370.0,,,,,,,20,True,others,2.0,,
6,dargs,deepmodeling/dargs,dargs,conda-forge/dargs,,,https://github.com/deepmodeling/dargs,https://github.com/deepmodeling/dargs,LGPL-3.0,2020-09-19 22:20:28,2024-07-01 23:20:02.000000,2024-06-28 21:47:17,145,15.0,3.0,7.0,62.0,2.0,6.0,5.0,2024-06-12 20:16:00,0.4.7,,91203.0,28.0,Argument processing for the deep modeling project.,120.0,120.0,7.0,https://pypi.org/project/dargs,90534.0,https://anaconda.org/conda-forge/dargs,2024-06-13 02:13:50.091,26101.0,,,,,,,19,True,others,2.0,,
7,dflow,deepmodeling/dflow,dflow,conda-forge/dflow,,dptechnology/dflow,https://github.com/deepmodeling/dflow,https://github.com/deepmodeling/dflow,LGPL-3.0,2022-01-21 08:14:36,2024-06-06 07:49:45.380292,2024-06-06 07:46:47,2034,76.0,24.0,1.0,795.0,14.0,21.0,58.0,2024-06-06 07:48:17,1.8.77,,112.0,100.0,Dflow is a Python framework for constructing scientific computing workflows (e.g. concurrent learning workflows)..,,,22.0,https://pypi.org/project/dflow,,https://anaconda.org/conda-forge/dflow,,,,,https://hub.docker.com/r/dptechnology/dflow,2024-06-06 07:49:45.380292,,3362.0,18,True,others,2.0,,
8,DeePTB,deepmodeling/DeePTB,dptb,,,,https://github.com/deepmodeling/DeePTB,https://github.com/deepmodeling/DeePTB,LGPL-3.0,2023-07-11 03:19:42,2024-07-02 15:26:07.000000,2024-07-02 15:26:07,716,82.0,12.0,3.0,160.0,9.0,25.0,33.0,2024-06-28 03:59:08,1.1.0-pub,,47.0,9.0,DeePTB: A deep learning package for tight-binding approach with ab initio accuracy.,1.0,1.0,9.0,https://pypi.org/project/dptb,47.0,,,,,,,,,,16,True,others,2.0,,
9,DPGEN2,deepmodeling/dpgen2,dpgen2,,,dptechnology/dpgen2,https://github.com/deepmodeling/dpgen2,https://github.com/deepmodeling/dpgen2,LGPL-3.0,2022-02-28 02:41:16,2024-07-04 08:09:36.000000,2024-07-02 03:57:50,294,24.0,22.0,7.0,202.0,11.0,21.0,30.0,2023-01-28 03:43:25,0.0.7,,135.0,7.0,2nd generation of the Deep Potential GENerator.,3.0,3.0,13.0,https://pypi.org/project/dpgen2,37.0,,,,,,https://hub.docker.com/r/dptechnology/dpgen2,2024-07-02 04:01:00.441723,,2868.0,16,True,others,2.0,1.0,
10,DeepFlame,deepmodeling/deepflame-dev,,,,,https://github.com/deepmodeling/deepflame-dev,https://github.com/deepmodeling/deepflame-dev,GPL-3.0,2022-06-12 10:25:12,2024-07-02 09:58:20.000000,2024-06-21 05:09:27,1057,9.0,55.0,7.0,438.0,16.0,29.0,128.0,2024-03-02 04:46:26,1.3.1,,,19.0,A deep learning empowered open-source platform for reacting flow simulations.,,,23.0,,,,,,,,,,,,15,True,others,2.0,-1.0,
11,APEX,deepmodeling/APEX,apex-flow,,,,https://github.com/deepmodeling/APEX,https://github.com/deepmodeling/APEX,LGPL-3.0,2023-04-20 06:13:42,2024-06-26 23:59:17.000000,2024-05-06 09:59:20,529,71.0,15.0,7.0,64.0,1.0,5.0,19.0,2024-05-06 10:01:52,1.2.0,,213.0,4.0,APEX: Alloy Properties EXplorer using simulations.,1.0,1.0,6.0,https://pypi.org/project/apex-flow,213.0,,,,,,,,,,15,True,others,2.0,,
12,DP-GUI,deepmodeling/dpgui,dpgui,,,,https://github.com/deepmodeling/dpgui,https://github.com/deepmodeling/dpgui,LGPL-3.0,2021-07-21 18:48:23,2024-07-03 10:39:40.000000,2024-05-31 07:44:25,304,21.0,4.0,6.0,461.0,,1.0,7.0,2023-10-13 05:16:09,1.0.0,,23220.0,4.0,A web-based GUI for user inputs.,7.0,7.0,3.0,https://pypi.org/project/dpgui,23220.0,,,,,,,,,,15,True,others,2.0,,
13,JAX-FEM,deepmodeling/jax-fem,jax-fem,,,,https://github.com/deepmodeling/jax-fem,https://github.com/deepmodeling/jax-fem,GPL-3.0,2023-10-02 15:20:54,2024-07-04 08:58:27.000000,2024-07-04 08:58:18,189,23.0,32.0,10.0,4.0,19.0,5.0,196.0,,,,195.0,,Differentiable Finite Element Method with JAX.,1.0,1.0,7.0,https://pypi.org/project/jax-fem,195.0,,,,,,,,,,14,True,others,2.0,,
14,rid-kit,deepmodeling/rid-kit,rid-kit,,,,https://github.com/deepmodeling/rid-kit,https://github.com/deepmodeling/rid-kit,LGPL-3.0,2021-02-02 02:44:00,2024-06-27 07:19:30.000000,2024-06-27 07:19:24,475,6.0,21.0,5.0,21.0,1.0,3.0,42.0,2024-05-14 03:25:35,0.6.4,143.0,91.0,5.0,Reinforced dynamics.,1.0,1.0,14.0,https://pypi.org/project/rid-kit,87.0,,,,,,,,,,14,True,others,2.0,,
15,DMFF,deepmodeling/DMFF,,conda-forge/dmff,,,https://github.com/deepmodeling/DMFF,https://github.com/deepmodeling/DMFF,LGPL-3.0,2022-02-14 01:35:50,2024-07-04 05:54:53.000000,2024-01-12 00:58:20,431,,40.0,9.0,158.0,10.0,16.0,143.0,2023-11-09 14:32:37,1.0.0,,84.0,4.0,DMFF (Differentiable Molecular Force Field) is a Jax-based python package that provides a full differentiable..,,,14.0,,,https://anaconda.org/conda-forge/dmff,2024-01-06 07:33:02.470,509.0,,,,,,,13,True,others,3.0,,
16,deepmodeling_sphinx,deepmodeling/deepmodeling_sphinx,deepmodeling_sphinx,,,,https://github.com/deepmodeling/deepmodeling_sphinx,https://github.com/deepmodeling/deepmodeling_sphinx,LGPL-3.0,2022-03-04 00:19:06,2024-07-01 23:20:31.000000,2024-05-14 22:54:20,66,7.0,6.0,5.0,58.0,,,2.0,2024-05-14 22:54:34,0.2.8,,2671.0,21.0,Sphinx extension for DeepModeling projects.,,,7.0,https://pypi.org/project/deepmodeling_sphinx,2671.0,,,,,,,,,,12,True,others,3.0,,
