,name,github_id,pypi_id,conda_id,npm_id,dockerhub_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank,show,category,projectrank_placing
0,DeePMD-kit,deepmodeling/deepmd-kit,deepmd-kit,conda-forge/deepmd-kit,deepmd-kit,deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,LGPL-3.0,2017-12-12 15:23:44,2025-07-21 19:54:32.000000,2025-06-11 05:53:58,3314,49.0,535.0,47.0,2441.0,85.0,815.0,1714,2025-06-11 06:01:47,3.1.0,56610.0,54365.0,58.0,A deep learning package for many-body potential energy representation and molecular dynamics.,36.0,36.0,79.0,https://pypi.org/project/deepmd-kit,13599.0,https://anaconda.org/conda-forge/deepmd-kit,2025-06-11 11:42:47.882,2033075.0,https://www.npmjs.com/package/deepmd-kit,28.0,https://hub.docker.com/r/deepmodeling/deepmd-kit,2025-06-12 14:06:06.712335,1.0,3878.0,29,True,others,1.0
1,ABACUS,deepmodeling/abacus-develop,,conda-forge/abacus,,,https://github.com/deepmodeling/abacus-develop,https://github.com/deepmodeling/abacus-develop,LGPL-3.0,2021-02-01 04:04:52,2025-07-23 14:04:44.000000,2025-07-23 14:04:44,7360,133.0,145.0,10.0,3954.0,138.0,2183.0,207,2025-07-20 01:30:31,3.9.0.10,,18812.0,74.0,An electronic structure package based on either plane wave basis or numerical atomic orbitals.,,,128.0,,,https://anaconda.org/conda-forge/abacus,2025-04-22 14:58:45.321,451507.0,,,,,,,24,True,others,1.0
2,DP-GEN,deepmodeling/dpgen,dpgen,conda-forge/dpgen,,,https://github.com/deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,LGPL-3.0,2019-06-13 11:43:56,2025-07-21 19:54:24.000000,2025-02-21 06:05:03,2168,,175.0,11.0,898.0,48.0,277.0,351,2025-02-21 06:06:07,0.13.1,1964.0,1312.0,20.0,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,8.0,8.0,69.0,https://pypi.org/project/dpgen,583.0,https://anaconda.org/conda-forge/dpgen,2025-04-22 14:57:10.509,42798.0,,,,,,,23,True,others,1.0
3,dpdata,deepmodeling/dpdata,dpdata,conda-forge/dpdata,,dptechnology/dpdata,https://github.com/deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,LGPL-3.0,2019-04-12 13:24:23,2025-07-21 19:54:22.000000,2025-03-20 03:30:40,813,,136.0,6.0,579.0,22.0,94.0,212,2025-03-20 03:31:32,0.2.24,,23879.0,40.0,A Python package for manipulating atomistic data of software in computational science.,145.0,145.0,62.0,https://pypi.org/project/dpdata,22097.0,https://anaconda.org/conda-forge/dpdata,2025-04-22 14:57:07.913,104712.0,,,https://hub.docker.com/r/dptechnology/dpdata,2023-06-02 09:30:14.674068,,648.0,23,True,others,1.0
4,dpdispatcher,deepmodeling/dpdispatcher,dpdispatcher,conda-forge/dpdispatcher,,dptechnology/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,LGPL-3.0,2020-12-08 05:14:37,2025-07-21 19:54:22.000000,2025-06-24 09:33:22,1105,1.0,55.0,5.0,412.0,20.0,66.0,51,2025-06-02 21:11:24,0.6.9,,4703.0,49.0,generate HPC scheduler systems jobs input scripts and submit these scripts to HPC systems and poke until they finish.,65.0,65.0,46.0,https://pypi.org/project/dpdispatcher,1468.0,https://anaconda.org/conda-forge/dpdispatcher,2025-06-03 06:40:43.225,30220.0,,,https://hub.docker.com/r/dptechnology/dpdispatcher,2025-06-02 21:15:24.882385,,129125.0,21,True,others,2.0
5,reacnetgenerator,deepmodeling/reacnetgenerator,reacnetgenerator,conda-forge/reacnetgenerator,,,https://github.com/deepmodeling/reacnetgenerator,https://github.com/deepmodeling/reacnetgenerator,LGPL-3.0,2018-04-06 15:07:56,2025-07-24 17:32:49.000000,2025-06-20 03:10:13,2538,15.0,41.0,7.0,2226.0,7.0,123.0,91,2025-01-05 07:30:15,1.6.15,,13216.0,100.0,an automatic reaction network generator for reactive molecular dynamics simulation.,3.0,3.0,19.0,https://pypi.org/project/reacnetgenerator,3050.0,https://anaconda.org/conda-forge/reacnetgenerator,2025-04-22 14:57:18.750,630295.0,,,,,,,20,True,others,2.0
6,dflow,deepmodeling/dflow,dflow,conda-forge/dflow,,dptechnology/dflow,https://github.com/deepmodeling/dflow,https://github.com/deepmodeling/dflow,LGPL-3.0,2022-01-21 08:14:36,2025-07-20 01:22:47.163503,2025-07-20 01:20:02,2249,66.0,28.0,1.0,901.0,14.0,22.0,71,2025-07-20 01:20:20,1.8.127,,311.0,100.0,Dflow is a Python framework for constructing scientific computing workflows (e.g. concurrent learning workflows)..,,,23.0,https://pypi.org/project/dflow,,https://anaconda.org/conda-forge/dflow,,,,,https://hub.docker.com/r/dptechnology/dflow,2025-07-20 01:22:47.163503,,13069.0,19,True,others,2.0
7,DeepFlame,deepmodeling/deepflame-dev,,,,,https://github.com/deepmodeling/deepflame-dev,https://github.com/deepmodeling/deepflame-dev,GPL-3.0,2022-06-12 10:25:12,2025-07-23 10:53:06.000000,2025-07-23 10:47:26,1176,33.0,70.0,8.0,509.0,21.0,30.0,183,2025-06-26 04:29:15,1.6.0,,,22.0,A deep learning empowered open-source platform for reacting flow simulations.,,,29.0,,,,,,,,,,,,18,True,others,2.0
8,DeePTB,deepmodeling/DeePTB,dptb,,,,https://github.com/deepmodeling/DeePTB,https://github.com/deepmodeling/DeePTB,LGPL-3.0,2023-07-11 03:19:42,2025-07-20 16:16:36.000000,2025-07-20 16:15:35,795,23.0,21.0,3.0,211.0,17.0,34.0,83,2025-05-07 14:02:40,2.2.0,,181.0,12.0,DeePTB: A deep learning package for tight-binding Hamiltonian with ab initio accuracy.,4.0,4.0,11.0,https://pypi.org/project/dptb,181.0,,,,,,,,,,18,True,others,2.0
9,dargs,deepmodeling/dargs,dargs,conda-forge/dargs,,,https://github.com/deepmodeling/dargs,https://github.com/deepmodeling/dargs,LGPL-3.0,2020-09-19 22:20:28,2025-07-21 19:54:13.000000,2025-01-28 03:24:29,163,,3.0,5.0,81.0,2.0,7.0,6,2024-11-21 03:25:26,0.4.10,,40082.0,31.0,Argument processing for the deep modeling project.,149.0,149.0,7.0,https://pypi.org/project/dargs,39113.0,https://anaconda.org/conda-forge/dargs,2025-04-22 14:57:50.542,49457.0,,,,,,,17,True,others,2.0
