,name,github_id,pypi_id,conda_id,npm_id,dockerhub_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending
0,DeePMD-kit,deepmodeling/deepmd-kit,deepmd-kit,conda-forge/deepmd-kit,deepmd-kit,deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,LGPL-3.0,2017-12-12 15:23:44,2025-08-13 20:32:41.000000,2025-06-11 05:53:58,3314,35.0,543.0,46.0,2472.0,88.0,817.0,1729,2025-06-11 06:01:47,3.1.0,57629.0,40717.0,58.0,A deep learning package for many-body potential energy representation and molecular dynamics.,37.0,37.0,79.0,https://pypi.org/project/deepmd-kit,https://anaconda.org/conda-forge/deepmd-kit,2025-06-11 11:42:47.882,2071587.0,https://www.npmjs.com/package/deepmd-kit,1.0,https://hub.docker.com/r/deepmodeling/deepmd-kit,2025-06-12 14:06:06.712335,1.0,3967.0,28,True,others,1.0,
1,ABACUS,deepmodeling/abacus-develop,,conda-forge/abacus,,,https://github.com/deepmodeling/abacus-develop,https://github.com/deepmodeling/abacus-develop,LGPL-3.0,2021-02-01 04:04:52,2025-08-11 09:58:26.000000,2025-08-11 09:58:25,7369,118.0,146.0,10.0,3970.0,147.0,2186.0,209,2025-08-02 11:43:44,3.9.0.11,,18498.0,75.0,An electronic structure package based on either plane wave basis or numerical atomic orbitals.,,,128.0,,https://anaconda.org/conda-forge/abacus,2025-04-22 14:58:45.321,462465.0,,,,,,,24,True,others,1.0,
2,DP-GEN,deepmodeling/dpgen,dpgen,conda-forge/dpgen,,,https://github.com/deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,LGPL-3.0,2019-06-13 11:43:56,2025-08-13 06:30:51.000000,2025-08-07 07:41:08,2197,16.0,177.0,11.0,905.0,47.0,278.0,354,2025-08-07 07:42:12,0.13.2,1969.0,726.0,21.0,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,8.0,8.0,71.0,https://pypi.org/project/dpgen,https://anaconda.org/conda-forge/dpgen,2025-08-07 18:05:24.933,43277.0,,,,,,,23,True,others,1.0,
3,dpdata,deepmodeling/dpdata,dpdata,conda-forge/dpdata,,dptechnology/dpdata,https://github.com/deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,LGPL-3.0,2019-04-12 13:24:23,2025-08-13 06:39:23.000000,2025-08-03 10:52:22,842,20.0,141.0,6.0,596.0,24.0,94.0,215,2025-08-03 10:54:49,0.2.25,,1773.0,41.0,A Python package for manipulating atomistic data of software in computational science.,145.0,145.0,65.0,https://pypi.org/project/dpdata,https://anaconda.org/conda-forge/dpdata,2025-08-03 16:36:05.688,105929.0,,,https://hub.docker.com/r/dptechnology/dpdata,2023-06-02 09:30:14.674068,,648.0,23,True,others,1.0,
4,dpdispatcher,deepmodeling/dpdispatcher,dpdispatcher,conda-forge/dpdispatcher,,dptechnology/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,LGPL-3.0,2020-12-08 05:14:37,2025-08-12 16:38:13.635000,2025-08-12 10:47:52,1111,7.0,56.0,5.0,415.0,20.0,67.0,51,2025-08-12 11:36:14,0.6.11,,3217.0,51.0,generate HPC scheduler systems jobs input scripts and submit these scripts to HPC systems and poke until they finish.,67.0,67.0,47.0,https://pypi.org/project/dpdispatcher,https://anaconda.org/conda-forge/dpdispatcher,2025-08-12 16:38:13.635,30944.0,,,https://hub.docker.com/r/dptechnology/dpdispatcher,2025-08-12 11:39:59.707718,,130668.0,22,True,others,2.0,
5,reacnetgenerator,deepmodeling/reacnetgenerator,reacnetgenerator,conda-forge/reacnetgenerator,,,https://github.com/deepmodeling/reacnetgenerator,https://github.com/deepmodeling/reacnetgenerator,LGPL-3.0,2018-04-06 15:07:56,2025-08-12 20:59:07.000000,2025-08-12 09:24:35,2541,18.0,40.0,7.0,2233.0,7.0,123.0,91,2025-01-05 07:30:15,1.6.15,,10149.0,100.0,an automatic reaction network generator for reactive molecular dynamics simulation.,3.0,3.0,19.0,https://pypi.org/project/reacnetgenerator,https://anaconda.org/conda-forge/reacnetgenerator,2025-04-22 14:57:18.750,639404.0,,,,,,,20,True,others,2.0,
6,dflow,deepmodeling/dflow,dflow,conda-forge/dflow,,dptechnology/dflow,https://github.com/deepmodeling/dflow,https://github.com/deepmodeling/dflow,LGPL-3.0,2022-01-21 08:14:36,2025-07-20 01:22:47.163503,2025-07-20 01:20:02,2249,50.0,28.0,1.0,902.0,14.0,22.0,73,2025-07-20 01:20:20,1.8.127,,324.0,100.0,Dflow is a Python framework for constructing scientific computing workflows (e.g. concurrent learning workflows)..,,,23.0,https://pypi.org/project/dflow,https://anaconda.org/conda-forge/dflow,,,,,https://hub.docker.com/r/dptechnology/dflow,2025-07-20 01:22:47.163503,,13951.0,19,True,others,2.0,
7,DeepFlame,deepmodeling/deepflame-dev,,,,,https://github.com/deepmodeling/deepflame-dev,https://github.com/deepmodeling/deepflame-dev,GPL-3.0,2022-06-12 10:25:12,2025-07-23 10:53:06.000000,2025-07-23 10:47:26,1176,30.0,70.0,8.0,509.0,22.0,30.0,183,2025-06-26 04:29:15,1.6.0,,,22.0,A deep learning empowered open-source platform for reacting flow simulations.,,,29.0,,,,,,,,,,,18,True,others,2.0,
8,DeePTB,deepmodeling/DeePTB,dptb,,,,https://github.com/deepmodeling/DeePTB,https://github.com/deepmodeling/DeePTB,LGPL-3.0,2023-07-11 03:19:42,2025-08-12 04:01:50.000000,2025-08-11 15:54:45,796,11.0,22.0,3.0,214.0,17.0,34.0,83,2025-05-07 14:02:40,2.2.0,,,12.0,DeePTB: A deep learning package for tight-binding Hamiltonian with ab initio accuracy.,4.0,4.0,11.0,https://pypi.org/project/dptb,,,,,,,,,,16,True,others,2.0,
9,DPGEN2,deepmodeling/dpgen2,dpgen2,,,dptechnology/dpgen2,https://github.com/deepmodeling/dpgen2,https://github.com/deepmodeling/dpgen2,LGPL-3.0,2022-02-28 02:41:16,2025-08-05 00:43:54.585184,2025-08-05 00:42:27,339,6.0,35.0,6.0,257.0,12.0,23.0,40,2023-01-28 03:43:25,0.0.7,,95.0,7.0,2nd generation of the Deep Potential GENerator.,6.0,6.0,16.0,https://pypi.org/project/dpgen2,,,,,,https://hub.docker.com/r/dptechnology/dpgen2,2025-08-05 00:43:54.585184,,3998.0,15,True,others,2.0,
