,name,github_id,pypi_id,conda_id,npm_id,dockerhub_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending,dependent_project_count,github_dependent_project_count
0,DeePMD-kit,deepmodeling/deepmd-kit,deepmd-kit,conda-forge/deepmd-kit,deepmd-kit,deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,LGPL-3.0,2017-12-12 15:23:44,2026-04-09 14:50:32.000000,2026-04-08 16:35:36,3635,143.0,582.0,46.0,2808.0,101.0,894.0,1909,2026-03-19 09:37:17,3.1.3,69227.0,52217.0,61.0,A deep learning package for many-body potential energy representation and molecular dynamics.,84,https://pypi.org/project/deepmd-kit,7071.0,https://anaconda.org/conda-forge/deepmd-kit,2026-03-19 16:01:57.130,2650794.0,https://www.npmjs.com/package/deepmd-kit,15.0,https://hub.docker.com/r/deepmodeling/deepmd-kit,2026-04-05 16:50:48.621287,1.0,5371.0,27,True,others,1,-3.0,,
1,dpdata,deepmodeling/dpdata,dpdata,conda-forge/dpdata,,dptechnology/dpdata,https://github.com/deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,LGPL-3.0,2019-04-12 13:24:23,2026-04-06 20:58:25.000000,2026-04-06 09:31:48,927,43.0,152.0,5.0,678.0,28.0,108.0,245,2026-02-28 00:24:21,1.0.1,,73573.0,43.0,A Python package for manipulating atomistic data of software in computational science.,67,https://pypi.org/project/dpdata,71747.0,https://anaconda.org/conda-forge/dpdata,2026-03-01 02:16:08.681,123669.0,,,https://hub.docker.com/r/dptechnology/dpdata,2023-06-02 09:30:14.674068,,732.0,27,True,others,1,1.0,157.0,157.0
2,ABACUS,deepmodeling/abacus-develop,,conda-forge/abacus,,,https://github.com/deepmodeling/abacus-develop,https://github.com/deepmodeling/abacus-develop,LGPL-3.0,2021-02-01 04:04:52,2026-04-09 01:28:03.000000,2026-04-09 01:28:02,7737,165.0,219.0,9.0,4521.0,189.0,2344.0,260,2026-04-06 11:35:47,3.9.0.27,,19014.0,92.0,An electronic structure package based on either plane wave basis or numerical atomic orbitals.,148,,,https://anaconda.org/conda-forge/abacus,2025-12-20 09:51:19.492,627475.0,,,,,,,25,True,others,1,,,
3,dpdispatcher,deepmodeling/dpdispatcher,dpdispatcher,conda-forge/dpdispatcher,,dptechnology/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,LGPL-3.0,2020-12-08 05:14:37,2026-04-06 20:58:42.000000,2026-03-29 17:25:08,1156,23.0,58.0,4.0,469.0,19.0,80.0,57,2026-03-29 17:31:30,1.0.3,,6086.0,56.0,generate HPC scheduler systems jobs input scripts and submit these scripts to HPC systems and poke until they finish.,49,https://pypi.org/project/dpdispatcher,2814.0,https://anaconda.org/conda-forge/dpdispatcher,2026-02-25 23:31:49.645,42057.0,,,https://hub.docker.com/r/dptechnology/dpdispatcher,2026-03-29 17:36:27.626936,,146855.0,23,True,others,1,,70.0,70.0
4,DP-GEN,deepmodeling/dpgen,dpgen,conda-forge/dpgen,,,https://github.com/deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,LGPL-3.0,2019-06-13 11:43:56,2026-04-06 09:31:33.000000,2026-04-06 09:31:32,2242,11.0,184.0,10.0,959.0,38.0,299.0,384,2025-08-07 07:42:12,0.13.2,2086.0,1410.0,21.0,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,73,https://pypi.org/project/dpgen,663.0,https://anaconda.org/conda-forge/dpgen,2025-08-07 18:05:24.933,50463.0,,,,,,,22,True,others,2,-1.0,,
5,reacnetgenerator,deepmodeling/reacnetgenerator,reacnetgenerator,conda-forge/reacnetgenerator,,,https://github.com/deepmodeling/reacnetgenerator,https://github.com/deepmodeling/reacnetgenerator,LGPL-3.0,2018-04-06 15:07:56,2026-04-06 20:58:54.000000,2026-03-15 12:44:13,2560,16.0,46.0,5.0,2276.0,8.0,124.0,97,2025-01-05 07:30:15,1.6.15,,13163.0,100.0,an automatic reaction network generator for reactive molecular dynamics simulation.,19,https://pypi.org/project/reacnetgenerator,2476.0,https://anaconda.org/conda-forge/reacnetgenerator,2025-11-11 16:14:11.843,758779.0,,,,,,,20,True,others,2,,3.0,3.0
6,dargs,deepmodeling/dargs,dargs,conda-forge/dargs,,,https://github.com/deepmodeling/dargs,https://github.com/deepmodeling/dargs,LGPL-3.0,2020-09-19 22:20:28,2026-04-06 20:58:23.000000,2026-02-24 10:51:44,175,9.0,4.0,4.0,96.0,3.0,11.0,6,2026-02-24 10:55:05,0.5.0.post0,,81242.0,34.0,Argument processing for the deep modeling project.,8,https://pypi.org/project/dargs,80191.0,https://anaconda.org/conda-forge/dargs,2026-02-25 05:33:17.014,63070.0,,,,,,,18,True,others,2,,157.0,157.0
7,DeepFlame,deepmodeling/deepflame-dev,,,,,https://github.com/deepmodeling/deepflame-dev,https://github.com/deepmodeling/deepflame-dev,GPL-3.0,2022-06-12 10:25:12,2026-03-25 08:52:35.000000,2026-02-14 09:11:59,1181,4.0,75.0,6.0,514.0,26.0,37.0,210,2026-01-28 10:56:30,2.0.0,,,23.0,A deep learning empowered open-source platform for reacting flow simulations.,30,,,,,,,,,,,,17,True,others,2,,,
8,dflow,deepmodeling/dflow,dflow,conda-forge/dflow,,dptechnology/dflow,https://github.com/deepmodeling/dflow,https://github.com/deepmodeling/dflow,LGPL-3.0,2022-01-21 08:14:36,2026-01-21 07:08:16.591515,2026-01-21 07:05:50,2277,4.0,29.0,,914.0,13.0,23.0,81,2026-01-21 07:06:16,1.8.133,,353.0,100.0,Dflow is a Python framework for constructing scientific computing workflows (e.g. concurrent learning workflows)..,23,https://pypi.org/project/dflow,,https://anaconda.org/conda-forge/dflow,,,,,https://hub.docker.com/r/dptechnology/dflow,2026-01-21 07:08:16.591515,,18009.0,17,True,others,2,,,
9,DPGEN2,deepmodeling/dpgen2,dpgen2,,,dptechnology/dpgen2,https://github.com/deepmodeling/dpgen2,https://github.com/deepmodeling/dpgen2,LGPL-3.0,2022-02-28 02:41:16,2026-04-06 14:05:15.000000,2026-04-04 10:47:48,356,8.0,36.0,5.0,281.0,18.0,28.0,40,2023-01-28 03:43:25,0.0.7,,183.0,7.0,2nd generation of the Deep Potential GENerator.,19,https://pypi.org/project/dpgen2,94.0,,,,,,https://hub.docker.com/r/dptechnology/dpgen2,2026-03-11 00:37:13.302433,,4476.0,16,True,others,2,,6.0,6.0
10,APEX,deepmodeling/APEX,apex-flow,,,,https://github.com/deepmodeling/APEX,https://github.com/deepmodeling/APEX,LGPL-3.0,2023-04-20 06:13:42,2026-03-30 02:53:36.000000,2025-04-10 13:16:14,621,,27.0,6.0,90.0,1.0,9.0,45,2024-05-06 10:01:52,1.2.0,,149.0,4.0,APEX: Alloy Properties EXplorer using simulations.,7,https://pypi.org/project/apex-flow,149.0,,,,,,,,,,15,True,others,2,1.0,4.0,4.0
11,DP-GUI,deepmodeling/dpgui,dpgui,,,,https://github.com/deepmodeling/dpgui,https://github.com/deepmodeling/dpgui,LGPL-3.0,2021-07-21 18:48:23,2026-04-06 20:58:31.000000,2025-08-26 11:26:26,326,,5.0,5.0,554.0,,1.0,9,2024-11-17 07:05:49,1.0.1.post0,,67827.0,5.0,A web-based GUI for user inputs.,4,https://pypi.org/project/dpgui,67827.0,,,,,,,,,,15,True,others,2,,13.0,13.0
12,JAX-FEM,deepmodeling/jax-fem,jax-fem,,,,https://github.com/deepmodeling/jax-fem,https://github.com/deepmodeling/jax-fem,GPL-3.0,2023-10-02 15:20:54,2026-02-08 09:40:16.000000,2026-02-08 09:39:21,274,2.0,108.0,13.0,13.0,25.0,46.0,635,,,,618.0,,Differentiable Finite Element Method with JAX.,17,https://pypi.org/project/jax-fem,618.0,,,,,,,,,,14,True,others,2,,3.0,3.0
13,DeePTB,deepmodeling/DeePTB,dptb,,,,https://github.com/deepmodeling/DeePTB,https://github.com/deepmodeling/DeePTB,LGPL-3.0,2023-07-11 03:19:42,2026-03-19 02:34:18.000000,2026-03-19 02:33:19,839,9.0,29.0,2.0,254.0,20.0,40.0,105,2025-05-07 14:02:40,2.2.0,,138.0,12.0,DeePTB: A deep learning package for tight-binding Hamiltonian with ab initio accuracy.,15,https://pypi.org/project/dptb,138.0,,,,,,,,,,14,True,others,2,-1.0,4.0,4.0
14,DMFF,deepmodeling/DMFF,,conda-forge/dmff,,,https://github.com/deepmodeling/DMFF,https://github.com/deepmodeling/DMFF,LGPL-3.0,2022-02-14 01:35:50,2026-04-07 01:20:04.000000,2026-04-07 00:52:04,441,1.0,46.0,8.0,182.0,8.0,20.0,191,2023-11-09 14:32:37,1.0.0,,115.0,4.0,DMFF (Differentiable Molecular Force Field) is a Jax-based python package that provides a full differentiable..,17,,,https://anaconda.org/conda-forge/dmff,2025-04-22 14:58:55.028,3110.0,,,,,,,13,True,others,2,,,
15,rid-kit,deepmodeling/rid-kit,rid-kit,,,,https://github.com/deepmodeling/rid-kit,https://github.com/deepmodeling/rid-kit,LGPL-3.0,2021-02-02 02:44:00,2025-03-31 04:23:22.000000,2025-03-31 04:21:54,477,,25.0,3.0,21.0,2.0,3.0,52,2024-05-14 03:25:35,0.6.4,148.0,60.0,5.0,Reinforced dynamics.,14,https://pypi.org/project/rid-kit,58.0,,,,,,,,,,12,True,others,3,,2.0,2.0
