,name,github_id,pypi_id,conda_id,npm_id,dockerhub_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending,pypi_monthly_downloads
0,DeePMD-kit,deepmodeling/deepmd-kit,deepmd-kit,conda-forge/deepmd-kit,deepmd-kit,deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,LGPL-3.0,2017-12-12 15:23:44,2026-07-09 16:01:58.000000,2026-07-09 10:30:00,3829,189.0,602.0,47.0,3046.0,151.0,968.0,1980,2026-03-19 09:37:17,3.1.3,73051.0,47292.0,62.0,A deep learning package for many-body potential energy representation and molecular dynamics.,56.0,56.0,88,https://pypi.org/project/deepmd-kit,https://anaconda.org/conda-forge/deepmd-kit,2026-06-07 10:09:31.065,2915178.0,https://www.npmjs.com/package/deepmd-kit,49.0,https://hub.docker.com/r/deepmodeling/deepmd-kit,2026-06-07 12:16:36.241892,1.0,6030.0,30,True,others,1,3.0,
1,ABACUS,deepmodeling/abacus-develop,,conda-forge/abacus,,,https://github.com/deepmodeling/abacus-develop,https://github.com/deepmodeling/abacus-develop,LGPL-3.0,2021-02-01 04:04:52,2026-07-08 12:58:08.000000,2026-07-08 12:58:07,7915,176.0,234.0,10.0,4800.0,234.0,2405.0,279,2026-06-27 08:41:58,3.11.0-beta5,,19653.0,97.0,An electronic structure package based on either plane wave basis or numerical atomic orbitals.,,,160,,https://anaconda.org/conda-forge/abacus,2025-12-20 09:51:19.492,707513.0,,,,,,,27,True,others,1,2.0,
2,dpdata,deepmodeling/dpdata,dpdata,conda-forge/dpdata,,dptechnology/dpdata,https://github.com/deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,LGPL-3.0,2019-04-12 13:24:23,2026-07-07 14:25:19.000000,2026-07-07 14:25:19,946,19.0,154.0,6.0,698.0,41.0,120.0,253,2026-05-07 13:32:49,1.0.2,,118848.0,44.0,A Python package for manipulating atomistic data of software in computational science.,163.0,163.0,71,https://pypi.org/project/dpdata,https://anaconda.org/conda-forge/dpdata,2026-05-07 19:44:41.918,132293.0,,,https://hub.docker.com/r/dptechnology/dpdata,2023-06-02 09:30:14.674068,,743.0,26,True,others,1,-1.0,116977.0
3,DP-GEN,deepmodeling/dpgen,dpgen,conda-forge/dpgen,,,https://github.com/deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,LGPL-3.0,2019-06-13 11:43:56,2026-07-02 15:20:43.000000,2026-07-02 15:20:42,2255,12.0,188.0,9.0,971.0,65.0,301.0,392,2026-05-12 17:41:50,0.13.3,2105.0,1557.0,22.0,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,8.0,8.0,75,https://pypi.org/project/dpgen,https://anaconda.org/conda-forge/dpgen,2026-05-13 09:42:35.071,53783.0,,,,,,,24,True,others,1,,795.0
4,dpdispatcher,deepmodeling/dpdispatcher,dpdispatcher,conda-forge/dpdispatcher,,dptechnology/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,LGPL-3.0,2020-12-08 05:14:37,2026-07-01 02:09:57.000000,2026-07-01 02:09:55,1163,6.0,58.0,4.0,476.0,36.0,81.0,58,2026-03-29 17:31:30,1.0.3,,6115.0,56.0,generate HPC scheduler systems jobs input scripts and submit these scripts to HPC systems and poke until they finish.,70.0,70.0,50,https://pypi.org/project/dpdispatcher,https://anaconda.org/conda-forge/dpdispatcher,2026-02-25 23:31:49.645,47396.0,,,https://hub.docker.com/r/dptechnology/dpdispatcher,2026-03-29 17:36:27.626936,,151883.0,22,True,others,2,-1.0,2819.0
5,reacnetgenerator,deepmodeling/reacnetgenerator,reacnetgenerator,conda-forge/reacnetgenerator,,,https://github.com/deepmodeling/reacnetgenerator,https://github.com/deepmodeling/reacnetgenerator,LGPL-3.0,2018-04-06 15:07:56,2026-06-29 20:29:36.000000,2026-06-20 18:13:39,2576,16.0,45.0,6.0,2288.0,20.0,124.0,99,2025-01-05 07:30:15,1.6.15,,11625.0,100.0,an automatic reaction network generator for reactive molecular dynamics simulation.,3.0,3.0,20,https://pypi.org/project/reacnetgenerator,https://anaconda.org/conda-forge/reacnetgenerator,2025-11-11 16:14:11.843,809321.0,,,,,,,20,True,others,2,,689.0
6,APEX,deepmodeling/APEX,apex-flow,,,,https://github.com/deepmodeling/APEX,https://github.com/deepmodeling/APEX,LGPL-3.0,2023-04-20 06:13:42,2026-07-07 11:09:25.000000,2026-07-07 10:51:56,790,103.0,27.0,7.0,111.0,,10.0,45,2026-06-06 16:23:40,1.3.0,,314.0,5.0,APEX: Alloy Properties EXplorer using simulations.,4.0,4.0,15,https://pypi.org/project/apex-flow,,,,,,,,,,18,True,others,2,3.0,314.0
7,dargs,deepmodeling/dargs,dargs,conda-forge/dargs,,,https://github.com/deepmodeling/dargs,https://github.com/deepmodeling/dargs,LGPL-3.0,2020-09-19 22:20:28,2026-06-29 20:29:22.000000,2026-02-24 10:51:44,175,,4.0,5.0,98.0,21.0,11.0,7,2026-02-24 10:55:05,0.5.0.post0,,132817.0,34.0,Argument processing for the deep modeling project.,162.0,162.0,8,https://pypi.org/project/dargs,https://anaconda.org/conda-forge/dargs,2026-02-25 05:33:17.014,69760.0,,,,,,,18,True,others,2,,131710.0
8,JAX-FEM,deepmodeling/jax-fem,jax-fem,,,,https://github.com/deepmodeling/jax-fem,https://github.com/deepmodeling/jax-fem,GPL-3.0,2023-10-02 15:20:54,2026-07-05 03:24:05.000000,2026-07-05 03:19:43,297,23.0,122.0,15.0,15.0,22.0,54.0,710,,,,1334.0,,Differentiable Finite Element Method with JAX.,4.0,4.0,17,https://pypi.org/project/jax-fem,,,,,,,,,,17,True,others,2,3.0,1334.0
9,DeepFlame,deepmodeling/deepflame-dev,,,,,https://github.com/deepmodeling/deepflame-dev,https://github.com/deepmodeling/deepflame-dev,GPL-3.0,2022-06-12 10:25:12,2026-06-04 07:16:50.000000,2026-06-04 07:16:49,1197,16.0,78.0,8.0,520.0,26.0,38.0,217,2026-01-28 10:56:30,2.0.0,,,23.0,A deep learning empowered open-source platform for reacting flow simulations.,,,31,,,,,,,,,,,17,True,others,2,,
10,DeePTB,deepmodeling/DeePTB,dptb,,,,https://github.com/deepmodeling/DeePTB,https://github.com/deepmodeling/DeePTB,LGPL-3.0,2023-07-11 03:19:42,2026-07-04 04:20:01.000000,2026-07-04 04:18:51,868,29.0,31.0,2.0,274.0,37.0,42.0,116,2026-06-20 09:05:16,2.2.1,,474.0,13.0,DeePTB: A deep learning package for tight-binding Hamiltonian with ab initio accuracy.,4.0,4.0,15,https://pypi.org/project/dptb,,,,,,,,,,17,True,others,2,3.0,474.0
11,DPGEN2,deepmodeling/dpgen2,dpgen2,,,dptechnology/dpgen2,https://github.com/deepmodeling/dpgen2,https://github.com/deepmodeling/dpgen2,LGPL-3.0,2022-02-28 02:41:16,2026-07-06 14:15:36.000000,2026-06-23 00:57:09,365,8.0,37.0,6.0,293.0,32.0,30.0,42,2026-06-18 07:40:04,0.1.0,,301.0,8.0,2nd generation of the Deep Potential GENerator.,6.0,6.0,19,https://pypi.org/project/dpgen2,,,,,,https://hub.docker.com/r/dptechnology/dpgen2,2026-06-23 00:58:47.581499,,4678.0,17,True,others,2,,213.0
12,dflow,deepmodeling/dflow,dflow,conda-forge/dflow,,dptechnology/dflow,https://github.com/deepmodeling/dflow,https://github.com/deepmodeling/dflow,LGPL-3.0,2022-01-21 08:14:36,2026-01-21 07:08:16.591515,2026-01-21 07:05:50,2277,,30.0,1.0,914.0,13.0,23.0,81,2026-01-21 07:06:16,1.8.133,,372.0,100.0,Dflow is a Python framework for constructing scientific computing workflows (e.g. concurrent learning workflows)..,,,23,https://pypi.org/project/dflow,https://anaconda.org/conda-forge/dflow,,,,,https://hub.docker.com/r/dptechnology/dflow,2026-01-21 07:08:16.591515,,20140.0,15,True,others,2,-2.0,
13,DP-GUI,deepmodeling/dpgui,dpgui,,,,https://github.com/deepmodeling/dpgui,https://github.com/deepmodeling/dpgui,LGPL-3.0,2021-07-21 18:48:23,2026-06-29 20:29:31.000000,2025-08-26 11:26:26,326,,5.0,5.0,554.0,12.0,1.0,9,2024-11-17 07:05:49,1.0.1.post0,,111907.0,5.0,A web-based GUI for user inputs.,15.0,15.0,4,https://pypi.org/project/dpgui,,,,,,,,,,15,True,others,2,,111907.0
14,DMFF,deepmodeling/DMFF,,conda-forge/dmff,,,https://github.com/deepmodeling/DMFF,https://github.com/deepmodeling/DMFF,LGPL-3.0,2022-02-14 01:35:50,2026-04-07 01:20:04.000000,2026-04-07 00:52:04,441,,49.0,8.0,182.0,8.0,20.0,198,2023-11-09 14:32:37,1.0.0,,116.0,4.0,DMFF (Differentiable Molecular Force Field) is a Jax-based python package that provides a full differentiable..,,,17,,https://anaconda.org/conda-forge/dmff,2025-04-22 14:58:55.028,3490.0,,,,,,,13,True,others,2,,
15,GPUMD,deepmodeling/GPUMD,,,,,https://github.com/deepmodeling/GPUMD,https://github.com/deepmodeling/GPUMD,GPL-3.0,2024-06-18 05:40:21,2026-06-09 14:34:09.000000,2026-06-09 13:28:02,6867,273.0,,,,,,13,,,,,,Graphics Processing Units Molecular Dynamics.,,,61,,,,,,,,,,,12,True,others,3,,
16,dpti,deepmodeling/dpti,dpti,,,,https://github.com/deepmodeling/dpti,https://github.com/deepmodeling/dpti,LGPL-3.0,2021-04-04 13:57:37,2026-07-05 00:37:47.000000,2026-07-05 00:37:47,453,21.0,23.0,7.0,111.0,37.0,1.0,38,,,,58.0,,A Python Package to Automate Thermodynamic Integration Calculations for Free Energy.,2.0,2.0,17,https://pypi.org/project/dpti,,,,,,,,,,11,True,others,3,,58.0
17,fealpy,deepmodeling/fealpy,fealpy,,,,https://github.com/deepmodeling/fealpy,https://github.com/deepmodeling/fealpy,,2023-04-10 03:58:57,2025-05-09 01:36:48.000000,2025-04-28 09:12:41,9611,,2.0,,1.0,,,6,,,,1605.0,,Finite Element Analysis Library in Python.,,,69,https://pypi.org/project/fealpy,,,,,,,,,,11,True,others,3,,1605.0
18,deepmodeling_sphinx,deepmodeling/deepmodeling_sphinx,deepmodeling_sphinx,,,,https://github.com/deepmodeling/deepmodeling_sphinx,https://github.com/deepmodeling/deepmodeling_sphinx,LGPL-3.0,2022-03-04 00:19:06,2026-06-29 20:29:21.000000,2026-05-31 18:45:20,86,5.0,6.0,5.0,80.0,12.0,1.0,2,2026-05-31 18:46:03,0.4.1,,5209.0,28.0,Sphinx extension for DeepModeling projects.,,,8,https://pypi.org/project/deepmodeling_sphinx,,,,,,,,,,11,True,others,3,-1.0,5209.0
