,name,github_id,pypi_id,conda_id,npm_id,dockerhub_id,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,description,npm_url,npm_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending
0,DeePMD-kit,deepmodeling/deepmd-kit,deepmd-kit,conda-forge/deepmd-kit,deepmd-kit,deepmodeling/deepmd-kit,{},62.0,62.0,89,https://pypi.org/project/deepmd-kit,36819.0,86062.0,https://anaconda.org/conda-forge/deepmd-kit,2021-04-20 02:48:47.074,2026-09-01 03:39:44.185,2026-09-01 03:39:44.185000,3192242.0,50.0,A deep learning package for many-body potential energy representation and molecular dynamics.,https://www.npmjs.com/package/deepmd-kit,26.0,https://hub.docker.com/r/deepmodeling/deepmd-kit,2026-08-22 16:58:59.143041,1.0,1.0,6930.0,11,False,others,1.0,-16.0
1,dpdata,deepmodeling/dpdata,dpdata,conda-forge/dpdata,,dptechnology/dpdata,{},165.0,165.0,72,https://pypi.org/project/dpdata,,1934.0,https://anaconda.org/conda-forge/dpdata,2020-08-12 15:36:21.970,2026-08-19 21:36:17.314,2026-08-19 21:36:17.314000,139686.0,45.0,"Manipulating DeePMD-kit, VASP and LAMMPS data formats.",,,https://hub.docker.com/r/dptechnology/dpdata,2023-06-02 09:30:14.674068,,,1550.0,10,False,others,1.0,-17.0
2,dpdispatcher,deepmodeling/dpdispatcher,dpdispatcher,conda-forge/dpdispatcher,,dptechnology/dpdispatcher,{},70.0,70.0,51,https://pypi.org/project/dpdispatcher,,4313.0,https://anaconda.org/conda-forge/dpdispatcher,2022-09-19 23:56:02.880,2026-02-25 23:31:49.645,2026-08-31 14:55:12.753977,51940.0,28.0,generate HPC scheduler systems jobs input scripts and submit these scripts to HPC systems and poke until they finish.,,,https://hub.docker.com/r/dptechnology/dpdispatcher,2026-08-31 14:55:12.753977,,,155125.0,10,False,others,1.0,
3,ABACUS,deepmodeling/abacus-develop,,conda-forge/abacus,,,{},,,165,,,20718.0,https://anaconda.org/conda-forge/abacus,2023-07-31 23:29:26.624,2026-08-19 05:42:29.954,2026-08-19 05:42:29.954000,787303.0,35.0,An electronic structure package based on plane wave and numerical atomic basis sets.,,,,,,,,9,False,others,2.0,-16.0
4,dargs,deepmodeling/dargs,dargs,conda-forge/dargs,,,{},164.0,164.0,9,https://pypi.org/project/dargs,,1157.0,https://anaconda.org/conda-forge/dargs,2021-04-20 18:43:41.837,2026-08-31 10:17:14.861,2026-08-31 10:17:14.861000,75241.0,26.0,Process arguments for the deep modeling project.,,,,,,,,9,False,others,2.0,
5,reacnetgenerator,deepmodeling/reacnetgenerator,reacnetgenerator,conda-forge/reacnetgenerator,,,{},3.0,3.0,21,https://pypi.org/project/reacnetgenerator,966.0,12206.0,https://anaconda.org/conda-forge/reacnetgenerator,2020-05-24 03:45:35.365,2025-11-11 16:14:11.843,2025-11-11 16:14:11.843000,854271.0,43.0,An automatic generator of reaction network for reactive molecular dynamics simulation.,,,,,,,,8,False,others,2.0,
6,DP-GEN,deepmodeling/dpgen,dpgen,conda-forge/dpgen,,,{},8.0,8.0,76,https://pypi.org/project/dpgen,485.0,1239.0,https://anaconda.org/conda-forge/dpgen,2020-06-05 01:25:52.069,2026-05-13 09:42:35.071,2026-05-13 09:42:35.071000,56616.0,18.0,The deep potential generator.,,,,,,,,7,False,others,2.0,
7,DP-GUI,deepmodeling/dpgui,dpgui,,,,{},15.0,15.0,4,https://pypi.org/project/dpgui,39215.0,39215.0,,,,,,,,,,,,,,,6,False,others,2.0,
8,fpop,deepmodeling/fpop,fpop,,,,{},18.0,18.0,4,https://pypi.org/project/fpop,1170.0,1170.0,,,,,,,,,,,,,,,5,False,others,2.0,
9,JAX-FEM,deepmodeling/jax-fem,jax-fem,,,,{},6.0,6.0,18,https://pypi.org/project/jax-fem,3273.0,3273.0,,,,,,,,,,,,,,,4,False,others,2.0,
10,deepmodeling_sphinx,deepmodeling/deepmodeling_sphinx,deepmodeling_sphinx,,,,{},,,8,https://pypi.org/project/deepmodeling_sphinx,4042.0,4042.0,,,,,,,,,,,,,,,3,False,others,3.0,
11,DeePTB,deepmodeling/DeePTB,dptb,,,,{},4.0,4.0,15,https://pypi.org/project/dptb,158.0,158.0,,,,,,,,,,,,,,,3,False,others,3.0,
12,DMFF,deepmodeling/DMFF,,conda-forge/dmff,,,{},,,17,,,118.0,https://anaconda.org/conda-forge/dmff,2024-01-02 04:26:36.340,2025-04-22 14:58:55.028,2025-04-22 14:58:55.028000,3801.0,2.0,DMFF (Differentiable Molecular Force Field) is a Jax-based python package that provides a full differentiable..,,,,,,,,3,False,others,3.0,
13,DPGEN2,deepmodeling/dpgen2,dpgen2,,,dptechnology/dpgen2,{},6.0,6.0,20,https://pypi.org/project/dpgen2,90.0,90.0,,,,2026-09-01 16:10:33.858779,,,,,,https://hub.docker.com/r/dptechnology/dpgen2,2026-09-01 16:10:33.858779,,,5676.0,3,False,others,3.0,
